id;risco de fogo;local;
0;alto;norte
1;médio;sul
2;médio;nordeste
3;médio;norte
4;alto;sudeste
5;alto;norte
6;médio;norte
7;alto;centro oeste
8;médio;sudeste
9;alto;nordeste
10;médio;norte
11;baixo;sudeste
12;médio;nordeste
13;alto;nordeste
14;médio;sudeste
15;alto;sudeste
16;baixo;norte
17;baixo;nordeste
18;médio;nordeste
19;médio;sul
20;baixo;norte
21;alto;norte
22;médio;nordeste
23;baixo;norte
24;baixo;norte
25;baixo;sudeste
26;médio;sudeste
27;médio;norte
28;baixo;norte
29;baixo;nordeste
30;baixo;norte
31;alto;nordeste
32;baixo;norte
33;médio;norte
34;médio;norte
35;baixo;nordeste
36;baixo;norte
37;médio;nordeste
38;médio;centro oeste
39;baixo;norte
40;baixo;norte
41;baixo;sul
42;médio;sudeste
43;alto;norte
44;baixo;norte
45;médio;centro oeste
46;médio;nordeste
47;médio;norte
48;médio;norte
49;alto;nordeste
50;médio;sul
51;alto;sul
52;médio;nordeste
53;alto;sudeste
54;alto;norte
55;médio;norte
56;médio;nordeste
57;baixo;nordeste
58;baixo;nordeste
59;médio;sudeste
60;médio;sul
61;baixo;nordeste
62;médio;norte
63;médio;norte
64;baixo;nordeste
65;baixo;norte
66;baixo;nordeste
67;médio;nordeste
68;alto;norte
69;médio;norte
70;médio;centro oeste
71;médio;nordeste
72;médio;nordeste
73;médio;nordeste
74;alto;sul
75;médio;nordeste
76;alto;sul
77;médio;centro oeste
78;médio;norte
79;baixo;norte
80;baixo;norte
81;médio;sul
82;médio;sudeste
83;médio;norte
84;médio;norte
85;alto;sudeste
86;alto;norte
87;baixo;centro oeste
88;baixo;norte
89;médio;nordeste
90;baixo;norte
91;alto;nordeste
92;alto;sudeste
93;médio;norte
94;médio;norte
95;médio;nordeste
96;médio;sudeste
97;médio;norte
98;baixo;nordeste
99;alto;centro oeste
100;médio;nordeste
101;médio;centro oeste
102;médio;nordeste
103;baixo;nordeste
104;médio;nordeste
105;baixo;nordeste
106;baixo;norte
107;alto;sudeste
108;médio;sul
109;médio;norte
110;médio;centro oeste
111;médio;nordeste
112;baixo;norte
113;médio;sul
114;alto;sudeste
115;médio;sudeste
116;médio;norte
117;médio;nordeste
118;médio;sudeste
119;médio;centro oeste
120;médio;norte
121;baixo;nordeste
122;baixo;nordeste
123;baixo;norte
124;baixo;norte
125;médio;norte
126;médio;norte
127;alto;nordeste
128;médio;norte
129;médio;nordeste
130;alto;norte
131;médio;norte
132;médio;centro oeste
133;médio;nordeste
134;alto;norte
135;médio;nordeste
136;médio;nordeste
137;médio;sudeste
138;médio;norte
139;alto;nordeste
140;médio;centro oeste
141;médio;centro oeste
142;médio;nordeste
143;alto;norte
144;médio;nordeste
145;baixo;norte
146;alto;sudeste
147;baixo;nordeste
148;médio;nordeste
149;baixo;nordeste
150;alto;nordeste
151;alto;norte
152;alto;nordeste
